Date,Blackburn with Darwen,Blackpool,Burnley,Chorley,Fylde,Hyndburn,Lancaster,Pendle,Preston,Ribble Valley,Rossendale,South Ribble,West Lancashire,Wyre,Lancashire (all)
2021-03-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-27,3,1,2,1,0,2,4,1,0,1,0,1,1,2,19
2021-03-26,21,2,7,5,1,2,2,4,15,5,2,10,9,3,88
2021-03-25,27,2,8,8,8,11,11,6,26,6,8,6,9,3,139
2021-03-24,22,10,12,7,7,3,4,5,20,3,7,11,11,7,129
2021-03-23,25,10,4,14,4,14,14,5,24,4,2,14,9,7,150
2021-03-22,26,8,12,17,10,7,10,5,17,3,10,14,9,7,155
2021-03-21,24,16,12,18,7,12,8,9,29,5,9,9,13,10,181
2021-03-20,20,3,4,9,6,2,12,11,17,7,8,7,6,9,121
2021-03-19,18,6,10,8,4,11,2,5,20,4,9,18,8,6,129
2021-03-18,29,12,20,8,7,11,13,8,12,6,8,14,16,9,173
2021-03-17,19,12,8,9,8,10,5,13,25,5,8,12,11,6,151
2021-03-16,24,6,10,18,7,9,7,6,10,10,15,18,15,9,164
2021-03-15,23,8,10,6,11,9,8,14,24,13,16,15,8,15,180
2021-03-14,18,7,9,9,10,8,5,7,20,6,9,13,10,5,136
2021-03-13,16,5,7,8,6,5,8,5,16,6,8,11,11,6,118
2021-03-12,27,8,7,8,8,8,5,3,23,10,8,16,13,7,151
2021-03-11,31,8,9,16,9,8,8,11,27,7,14,19,7,9,183
2021-03-10,24,10,17,18,8,7,11,8,34,6,8,16,16,5,188
2021-03-09,30,12,10,14,3,12,12,10,27,11,15,22,18,0,196
2021-03-08,27,12,10,20,10,16,9,15,39,4,8,20,23,18,231
2021-03-07,26,4,4,10,2,6,4,6,23,8,6,24,12,0,135
2021-03-06,25,7,6,6,8,5,6,5,23,5,4,11,6,8,125
2021-03-05,31,10,7,9,9,10,10,16,29,11,7,20,14,7,190
2021-03-04,24,24,9,11,10,20,8,13,25,19,3,12,15,3,196
2021-03-03,22,20,11,10,11,9,7,6,33,5,3,20,18,4,179
2021-03-02,18,13,15,7,10,17,8,3,45,4,2,18,17,14,191
2021-03-01,15,18,17,12,10,17,12,3,30,11,15,18,20,4,202
2021-02-28,20,11,8,8,6,9,9,5,21,0,6,13,14,2,132
2021-02-27,16,12,6,11,10,9,10,3,22,3,10,8,13,8,141
2021-02-26,20,15,11,10,19,15,12,10,21,3,8,18,9,10,181
2021-02-25,40,26,23,17,12,23,19,10,36,4,10,20,15,16,271
2021-02-24,39,16,17,19,8,19,20,20,39,4,15,15,14,12,257
2021-02-23,27,17,8,26,13,23,28,12,44,11,12,32,22,12,287
2021-02-22,46,17,25,21,16,14,38,24,31,16,17,29,21,16,331
2021-02-21,43,9,5,16,14,18,26,13,53,7,7,21,13,6,251
2021-02-20,22,13,8,11,8,22,28,9,32,13,4,26,19,12,227
2021-02-19,27,17,15,15,18,14,32,21,43,15,17,31,22,12,299
2021-02-18,49,25,16,28,18,13,26,16,51,13,12,27,26,13,333
2021-02-17,41,21,6,25,14,17,38,13,54,10,13,16,25,16,309
2021-02-16,36,43,15,30,15,14,37,21,56,14,18,33,27,24,383
2021-02-15,47,33,24,46,16,22,49,46,77,15,10,35,38,32,490
