Date,Blackburn with Darwen,Blackpool,Burnley,Chorley,Fylde,Hyndburn,Lancaster,Pendle,Preston,Ribble Valley,Rossendale,South Ribble,West Lancashire,Wyre,Lancashire (all)
2021-02-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-23,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
2021-02-22,1,1,3,0,0,1,2,1,1,0,0,1,1,0,12
2021-02-21,4,1,0,0,0,0,2,0,2,0,1,0,0,1,11
2021-02-20,0,0,2,1,0,0,0,0,0,0,2,1,2,0,8
2021-02-19,1,1,0,1,1,0,0,0,1,1,0,1,0,2,9
2021-02-18,2,4,0,0,1,1,0,1,3,0,0,1,1,0,14
2021-02-17,2,1,1,1,0,0,1,0,0,0,1,2,1,0,10
2021-02-16,3,0,0,1,1,1,1,2,0,0,2,0,1,1,13
2021-02-15,2,2,0,1,1,3,2,1,0,0,0,2,0,0,14
2021-02-14,1,0,0,1,1,1,3,0,0,0,1,1,1,1,11
2021-02-13,1,2,0,0,1,0,2,0,0,0,0,3,2,0,11
2021-02-12,0,2,0,1,0,0,2,0,2,1,1,0,1,0,10
2021-02-11,1,1,0,1,3,0,1,0,0,0,0,2,1,0,10
2021-02-10,4,2,1,0,1,0,3,2,1,0,1,1,4,2,22
2021-02-09,3,2,0,0,1,1,1,0,0,0,1,1,1,0,11
2021-02-08,0,2,0,0,0,5,2,0,0,2,2,2,1,1,17
2021-02-07,3,0,3,1,1,1,2,0,1,0,0,0,1,3,16
2021-02-06,0,0,1,0,0,1,3,1,4,1,2,5,1,1,20
2021-02-05,2,0,0,0,4,3,2,1,1,1,0,2,0,2,18
2021-02-04,2,0,4,0,2,2,1,2,0,1,0,2,4,1,21
2021-02-03,1,3,2,2,2,0,2,2,1,0,2,0,2,1,20
2021-02-02,3,3,1,0,0,3,3,3,2,2,1,1,1,3,26
2021-02-01,2,2,0,0,2,0,4,1,1,1,0,1,0,1,15
2021-01-31,4,2,2,3,2,1,3,3,1,0,2,2,2,0,27
2021-01-30,1,1,0,4,1,1,4,1,3,2,2,1,0,3,24
2021-01-29,0,4,3,1,2,1,5,5,2,1,0,1,1,2,28
2021-01-28,3,2,2,1,4,3,3,2,1,1,0,3,4,0,29
2021-01-27,5,0,2,0,1,1,7,1,1,0,2,1,0,2,23
2021-01-26,5,2,3,0,0,0,2,0,2,2,1,1,1,2,21
2021-01-25,2,0,1,1,3,3,2,2,3,2,3,3,1,1,27
2021-01-24,0,3,2,0,2,3,1,2,2,2,0,0,2,3,22
