Date,Blackburn with Darwen,Blackpool,Burnley,Chorley,Fylde,Hyndburn,Lancaster,Pendle,Preston,Ribble Valley,Rossendale,South Ribble,West Lancashire,Wyre,Lancashire (all)
2021-04-12,62.1,12.9,23.6,44.8,24.8,37.0,24.0,26.1,41.2,16.4,15.4,37.0,20.1,11.6,29.9
2021-04-11,64.8,12.9,23.6,43.1,23.5,42.0,21.9,29.3,43.3,19.7,15.4,43.3,20.1,11.6,31.0
2021-04-10,69.5,14.3,23.6,36.4,21.0,46.9,20.5,29.3,46.1,23.0,21.0,44.2,19.2,10.7,31.7
2021-04-09,72.8,13.6,21.4,40.6,22.3,44.4,21.2,26.1,43.3,21.4,29.4,46.0,18.4,9.8,32.0
2021-04-08,70.1,13.6,30.4,45.7,18.6,43.2,21.9,27.1,41.9,23.0,28.0,42.4,21.0,10.7,32.4
2021-04-07,64.1,12.9,38.2,45.7,19.8,45.7,17.1,27.1,42.6,24.6,32.2,38.8,21.0,13.4,32.2
2021-04-06,65.5,15.1,39.4,49.1,19.8,40.7,15.7,25.0,49.6,31.2,35.0,41.5,21.0,12.5,33.5
2021-04-05,63.5,17.9,41.6,49.1,16.1,43.2,18.5,27.1,55.9,39.4,36.4,42.4,20.1,14.3,35.2
2021-04-04,66.8,20.1,43.9,51.6,13.6,42.0,20.5,27.1,60.1,39.4,37.8,38.8,21.9,11.6,36.2
2021-04-03,72.1,20.1,49.5,60.1,13.6,46.9,21.9,29.3,70.6,36.1,36.4,39.7,29.7,12.5,39.8
2021-04-02,69.5,20.1,55.1,67.7,14.9,50.6,28.1,29.3,77.5,36.1,32.2,37.0,34.1,12.5,41.9
2021-04-01,76.2,19.4,51.7,61.8,13.6,53.1,28.1,30.4,85.9,44.3,33.6,41.5,42.0,12.5,44.1
2021-03-31,90.2,19.4,52.9,63.4,19.8,59.2,33.6,31.5,91.5,50.9,39.2,45.1,44.6,12.5,48.4
2021-03-30,95.5,21.5,61.9,61.8,28.5,59.2,34.2,34.7,95.0,47.6,42.0,49.6,51.6,18.7,52.0
2021-03-29,104.2,24.4,60.7,63.4,32.2,67.9,37.7,34.7,98.5,41.1,43.4,54.2,57.7,21.4,55.3
