,index,Geometry,areaCode,LtlaName,areaName,2020-03-19,2020-03-26,2020-04-02,2020-04-09,2020-04-16,2020-04-23,2020-04-30,2020-05-07,2020-05-14,2020-05-21,2020-05-28,2020-06-04,2020-06-11,2020-06-18,2020-06-25,2020-07-02,2020-07-09,2020-07-16,2020-07-23,2020-07-30,2020-08-06,2020-08-13,2020-08-20,2020-08-27,2020-09-03,2020-09-10,2020-09-17,2020-09-24,2020-10-01,2020-10-08,2020-10-15,2020-10-22,2020-10-29,2020-11-05,2020-11-12,2020-11-19,2020-11-26,2020-12-03,2020-12-10
0,0,"{""coordinates"":[[[-2.4463169558105,53.7665898166105],[-2.4520072968824,53.7600301963985],[-2.45609289205122,53.758205006482],[-2.46379546965057,53.7619845337597],[-2.46548146337065,53.7630932445367],[-2.47149865505606,53.7618520551405],[-2.47345527284292,53.7639050079448],[-2.47713265756053,53.7641341919494],[-2.47798777136077,53.7606022652841],[-2.47800091063189,53.7606076424414],[-2.4858319505955,53.7590533688379],[-2.48800932745823,53.7615681821042],[-2.49213651707898,53.7650692518672],[-2.49470293034141,53.7701682937777],[-2.48127327732225,53.7737928057331],[-2.47935602103653,53.7769227691995],[-2.47708779088083,53.7810478753585],[-2.46580761491422,53.7808131171119],[-2.46556677133482,53.7805561300852],[-2.46520471119584,53.7803626030693],[-2.45554442808633,53.7740615839277],[-2.4463169558105,53.7665898166105]]],""type"":""Polygon""}",E02002615,Blackburn with Darwen,"Roe Lee, Brownhill & Sunnybower",0.0,0.0,0.0,48.7,29.2,38.9,58.4,77.8,126.5,68.1,175.1,77.8,29.2,48.7,0.0,0.0,29.2,58.4,58.4,97.3,107.0,165.4,0.0,38.9,77.8,321.1,146.0,282.2,243.3,330.8,593.6,739.5,963.3,749.2,603.3,321.1,321.1,194.6,233.5
1,1,"{""coordinates"":[[[-2.49470293034141,53.7701682937777],[-2.49213651707898,53.7650692518672],[-2.48800932745823,53.7615681821042],[-2.49200246042574,53.7601048540825],[-2.49332084634631,53.7553676658824],[-2.49137202897001,53.7526035595512],[-2.49105100222837,53.7521465333925],[-2.49394897514088,53.7517222024165],[-2.5019237913211,53.7519666411867],[-2.50272703182629,53.7497593490527],[-2.5067545580757,53.7510503813907],[-2.50970974415431,53.7525436731166],[-2.50977390640038,53.7525047917116],[-2.51218018838247,53.7649105900306],[-2.51335360196398,53.7665394620212],[-2.5086283705929,53.7693700263733],[-2.49895826630689,53.768620187335],[-2.49470293034141,53.7701682937777]]],""type"":""Polygon""}",E02002616,Blackburn with Darwen,Lammack & Revidge,0.0,0.0,0.0,67.5,33.7,33.7,33.7,33.7,33.7,0.0,33.7,56.2,135.0,45.0,45.0,90.0,90.0,112.5,146.2,180.0,123.7,168.7,67.5,78.7,101.2,180.0,281.2,438.6,382.4,393.7,798.6,1001.0,933.5,1034.8,776.1,641.1,337.4,461.1,393.7
2,2,"{""coordinates"":[[[-2.47345527284292,53.7639050079448],[-2.47149865505606,53.7618520551405],[-2.46548146337065,53.7630932445367],[-2.46379546965057,53.7619845337597],[-2.45609289205122,53.758205006482],[-2.4520072968824,53.7600301963985],[-2.45177990183654,53.7564546822349],[-2.44574518345275,53.7547268900218],[-2.45386180340342,53.753848172096],[-2.45814515315444,53.751678118337],[-2.46647133786526,53.7544867712403],[-2.46719045398627,53.7542505155105],[-2.47253365386891,53.7519865006763],[-2.47459238633883,53.7543682744985],[-2.47445040351813,53.7544143023348],[-2.47324911963171,53.7581396725079],[-2.47722925116086,53.7585989006533],[-2.47706771292636,53.7588606675677],[-2.47798777136077,53.7606022652841],[-2.47713265756053,53.7641341919494],[-2.47345527284292,53.7639050079448]]],""type"":""Polygon""}",E02002617,Blackburn with Darwen,Little Harwood,0.0,0.0,0.0,54.0,54.0,32.4,32.4,54.0,43.2,43.2,32.4,118.8,64.8,108.0,151.2,32.4,75.6,75.6,118.8,75.6,54.0,323.9,140.4,162.0,172.8,291.5,356.3,529.1,367.1,507.5,1036.6,1144.6,885.4,917.8,777.5,615.5,442.7,464.3,302.3
3,3,"{""coordinates"":[[[-2.48800932745823,53.7615681821042],[-2.4858319505955,53.7590533688379],[-2.47800091063189,53.7606076424414],[-2.47798777136077,53.7606022652841],[-2.47706771292636,53.7588606675677],[-2.47722925116086,53.7585989006533],[-2.47324911963171,53.7581396725079],[-2.47445040351813,53.7544143023348],[-2.47459238633883,53.7543682744985],[-2.48136269095482,53.7552347551999],[-2.48212598743879,53.7556526868909],[-2.48283279641934,53.7561866050453],[-2.49137202897001,53.7526035595512],[-2.49332084634631,53.7553676658824],[-2.49200246042574,53.7601048540825],[-2.48800932745823,53.7615681821042]]],""type"":""Polygon""}",E02002618,Blackburn with Darwen,Bastwell,0.0,0.0,66.8,53.4,53.4,40.1,106.8,80.1,53.4,0.0,0.0,66.8,40.1,106.8,106.8,66.8,146.9,253.7,267.0,360.5,280.4,213.6,106.8,53.4,40.1,93.5,133.5,253.7,173.6,627.5,934.6,1615.5,1255.0,1735.6,1081.4,654.2,494.0,467.3,347.1
4,4,"{""coordinates"":[[[-2.5067545580757,53.7510503813907],[-2.50272703182629,53.7497593490527],[-2.5019237913211,53.7519666411867],[-2.49394897514088,53.7517222024165],[-2.49105100222837,53.7521465333925],[-2.48594408729797,53.7500069074717],[-2.49551881316323,53.7479690871978],[-2.50156190811237,53.7457547683717],[-2.50080378905558,53.7425615465543],[-2.50122417505335,53.7425375261973],[-2.50736170202914,53.7406725517136],[-2.51040680939214,53.7466984762106],[-2.50977390640038,53.7525047917116],[-2.50970974415431,53.7525436731166],[-2.5067545580757,53.7510503813907]]],""type"":""Polygon""}",E02002619,Blackburn with Darwen,Wensley Fold,0.0,0.0,44.5,44.5,44.5,77.8,122.3,166.7,155.6,66.7,44.5,44.5,55.6,55.6,100.0,55.6,122.3,177.8,155.6,189.0,77.8,44.5,155.6,55.6,0.0,155.6,189.0,211.2,300.1,544.6,522.4,967.0,811.4,711.3,533.5,422.4,366.8,322.3,289.0
5,5,"{""coordinates"":[[[-2.47703500176839,53.745383248488],[-2.47360805856164,53.7432856499498],[-2.47356911520002,53.7423812946372],[-2.46999655960495,53.7428807166211],[-2.47010544253292,53.7402490699721],[-2.47475793929624,53.7363055184089],[-2.47797738361686,53.7350104885408],[-2.48059892182882,53.7355110292215],[-2.48802363296127,53.7378229720864],[-2.48697187774436,53.7410669287211],[-2.49017357192283,53.7397422428511],[-2.49335548250193,53.7432971328266],[-2.50080378905558,53.7425615465543],[-2.50156190811237,53.7457547683717],[-2.49551881316323,53.7479690871978],[-2.48594408729797,53.7500069074717],[-2.49105100222837,53.7521465333925],[-2.49137202897001,53.7526035595512],[-2.48283279641934,53.7561866050453],[-2.48212598743879,53.7556526868909],[-2.48136269095482,53.7552347551999],[-2.47459238633883,53.7543682744985],[-2.47253365386891,53.7519865006763],[-2.47164349913812,53.7491707329242],[-2.47703500176839,53.745383248488]]],""type"":""Polygon""}",E02002620,Blackburn with Darwen,Central Blackburn,0.0,0.0,33.7,44.9,0.0,0.0,0.0,44.9,33.7,67.4,56.2,0.0,0.0,44.9,56.2,101.1,101.1,89.8,179.7,78.6,112.3,247.1,78.6,56.2,56.2,146.0,179.7,269.5,179.7,527.9,707.5,1022.0,808.6,999.6,842.3,415.5,280.8,269.5,213.4
6,6,"{""coordinates"":[[[-2.46245297955124,53.7431144068343],[-2.45709987209897,53.7420228666391],[-2.47010544253292,53.7402490699721],[-2.46999655960495,53.7428807166211],[-2.47356911520002,53.7423812946372],[-2.47360805856164,53.7432856499498],[-2.47703500176839,53.745383248488],[-2.47164349913812,53.7491707329242],[-2.47253365386891,53.7519865006763],[-2.46719045398627,53.7542505155105],[-2.4680975480143,53.7503116151032],[-2.46020108704233,53.7494931816778],[-2.45664882702228,53.7464535606335],[-2.45668326412963,53.7441428528446],[-2.4620295558252,53.7431895607476],[-2.46245297955124,53.7431144068343]]],""type"":""Polygon""}",E02002621,Blackburn with Darwen,Audley,0.0,0.0,46.4,46.4,58.0,58.0,69.7,92.9,58.0,81.3,92.9,0.0,0.0,0.0,0.0,46.4,69.7,301.8,243.8,278.6,232.2,150.9,185.7,139.3,139.3,209.0,232.2,232.2,162.5,708.1,708.1,975.2,882.3,789.4,673.3,417.9,336.7,371.5,209.0
7,7,"{""coordinates"":[[[-2.44574518345275,53.7547268900218],[-2.43965771004765,53.7483074919269],[-2.43965132639931,53.748299987002],[-2.44155502632671,53.7447564278914],[-2.44152099494338,53.7446813497932],[-2.43988454370145,53.7359566454826],[-2.44416853351213,53.7322478941756],[-2.45496187546708,53.7338637337068],[-2.45388033547283,53.7365740352574],[-2.45453618197367,53.7409935199968],[-2.45668326412963,53.7441428528446],[-2.45664882703205,53.7464535615322],[-2.46020108704233,53.7494931816778],[-2.4680975480143,53.7503116151032],[-2.46719045398627,53.7542505155105],[-2.46647133786526,53.7544867712403],[-2.45814515315444,53.751678118337],[-2.45386180340342,53.753848172096],[-2.44574518345275,53.7547268900218]]],""type"":""Polygon""}",E02002622,Blackburn with Darwen,Shadsworth & Intack,0.0,0.0,0.0,46.7,121.3,56.0,112.0,65.3,84.0,37.3,37.3,37.3,46.7,0.0,0.0,0.0,0.0,28.0,0.0,46.7,140.0,46.7,56.0,56.0,65.3,102.7,130.7,158.7,102.7,308.0,345.3,597.3,756.0,690.7,560.0,317.3,252.0,261.3,354.7
8,8,"{""coordinates"":[[[-2.49335548250193,53.7432971328266],[-2.49017357192283,53.7397422428511],[-2.48697187774436,53.7410669287211],[-2.48802363296127,53.7378229720864],[-2.48059892182882,53.7355110292215],[-2.47797738361686,53.7350104885408],[-2.48703357400009,53.7320729154755],[-2.48517311072944,53.7288176394384],[-2.49654410235134,53.7315822733548],[-2.50059418889201,53.7311813262131],[-2.50341445736106,53.7319943949382],[-2.50428126603298,53.7324125665128],[-2.51198234995905,53.7338914563959],[-2.5132402672361,53.738060151897],[-2.51048025313224,53.7391770734567],[-2.50736170202914,53.7406725517136],[-2.50122417505335,53.7425375261973],[-2.50080378905558,53.7425615465543],[-2.49335548250193,53.7432971328266]]],""type"":""Polygon""}",E02002623,Blackburn with Darwen,"Witton, Mill Hill & Hollin Bank",0.0,0.0,0.0,28.7,57.3,181.6,114.7,66.9,57.3,105.1,28.7,57.3,0.0,0.0,0.0,0.0,0.0,76.5,0.0,0.0,0.0,57.3,38.2,0.0,38.2,95.6,57.3,105.1,114.7,181.6,296.3,592.6,420.5,420.5,401.4,229.4,238.9,172.0,210.3
9,9,"{""coordinates"":[[[-2.51218018838247,53.7649105900306],[-2.50977390640038,53.7525047917116],[-2.51040680939214,53.7466984762106],[-2.50736170202914,53.7406725517136],[-2.51048025313224,53.7391770734567],[-2.5132402672361,53.738060151897],[-2.52236935438464,53.7372809317992],[-2.51817740918688,53.7330569988603],[-2.51665341378729,53.7302431120295],[-2.51536475266739,53.7276973375476],[-2.51408059981757,53.7216754911177],[-2.51351979947428,53.7189748241662],[-2.50626391713348,53.7179431711585],[-2.50285705870057,53.7137168399776],[-2.53944371546803,53.7145617960249],[-2.54097455185052,53.7195624133061],[-2.54687710488294,53.7229721088871],[-2.54671410017472,53.7232182350853],[-2.54627718939149,53.724369116257],[-2.5553473596046,53.7253815381701],[-2.56043577697024,53.7367917168168],[-2.56048968665909,53.7369847624668],[-2.56476812727166,53.743438594151],[-2.56160139293601,53.7469012205064],[-2.55398697387088,53.7497075222703],[-2.55129810636849,53.7563884261979],[-2.54572438810274,53.7594277255452],[-2.52877934512241,53.7594755411799],[-2.51335360196398,53.7665394620212],[-2.51218018838247,53.7649105900306]]],""type"":""Polygon""}",E02002624,Blackburn with Darwen,"Beardwood, Pleasington & Livesey",0.0,0.0,73.0,73.0,0.0,73.0,60.8,109.5,36.5,36.5,36.5,36.5,0.0,0.0,0.0,0.0,0.0,36.5,0.0,48.7,0.0,36.5,0.0,0.0,0.0,0.0,109.5,97.3,231.1,377.1,498.8,535.3,815.1,681.3,632.6,316.3,206.8,133.8,121.7
