date,Abram & Bickershaw,Ashton-in-Makerfield East,Ashton-in-Makerfield North,Ashton-in-Makerfield West,Aspull & Red Rock,"Astley, Blackmoor & Mosley Common",Atherton North,Atherton South East & Tyldesley West,Atherton South West,Beech Hill,Golborne,Hindley East,Hindley Green,Hindley West,Ince-in-Makerfield,Laithwaite & Marsh Green,Leigh Central,Leigh East & Higher Folds,Leigh North,Leigh South,Leigh South East,Leigh West,Lowton,Lowton Common,New Springs,Orrell & Longshaw,Pemberton North,Pemberton South,Platt Bridge & Spring View,Shevington,Standish North,Standish South,Tyldesley North,Tyldesley South,Wigan Central,Wigan East,Wigan Marylebone & Bottling Wood,Wigan South,Winstanley,Worsley Mesnes & Hawkley
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7,0.0,0.0,0.0,0.0,48.2,0.0,0.0,0.0,37.9,0.0,0.0,0.0,0.0,0.0,54.7,0.0,0.0
2020-04-03,47.4,36.4,63.5,0.0,0.0,36.3,33.4,0.0,0.0,0.0,0.0,87.5,0.0,77.8,0.0,0.0,0.0,92.3,60.7,0.0,0.0,38.4,37.7,50.4,98.3,38.7,0.0,36.1,42.4,29.7,0.0,63.1,0.0,0.0,38.0,38.8,0.0,65.6,0.0,41.2
2020-04-10,47.4,48.6,50.8,41.0,64.9,48.4,78.0,97.9,36.1,0.0,0.0,62.5,0.0,44.5,46.2,30.7,59.8,92.3,85.0,0.0,52.3,51.2,50.3,0.0,0.0,31.0,0.0,144.5,74.3,49.5,0.0,138.9,83.9,0.0,38.0,51.7,0.0,76.6,76.3,68.7
2020-04-17,0.0,60.7,38.1,205.0,146.0,72.6,33.4,0.0,84.2,51.8,94.1,87.5,97.0,77.8,57.7,102.3,44.8,57.7,60.7,37.6,65.3,64.0,50.3,0.0,196.6,0.0,44.7,168.6,84.9,49.5,50.0,164.1,47.9,59.7,88.7,77.5,86.9,131.3,50.9,82.4
2020-04-24,130.4,72.8,152.4,205.0,64.9,108.8,122.5,130.5,120.3,181.2,105.9,200.0,181.9,155.6,92.3,173.9,104.6,173.0,255.0,100.4,91.4,166.4,113.2,100.9,213.0,131.5,134.2,192.7,106.1,49.5,83.4,138.9,35.9,35.8,50.7,193.9,49.6,142.2,84.8,54.9
2020-05-01,47.4,97.1,63.5,177.6,0.0,48.4,44.6,130.5,108.2,64.7,105.9,100.0,169.8,88.9,46.2,51.2,0.0,288.3,85.0,75.3,78.4,128.0,113.2,0.0,180.2,61.9,164.0,120.4,159.2,89.1,66.7,75.7,71.9,47.7,126.7,155.1,111.7,142.2,101.7,109.9
2020-05-08,0.0,36.4,63.5,54.7,97.3,48.4,0.0,0.0,96.2,77.6,0.0,62.5,84.9,77.8,69.2,143.3,0.0,184.5,60.7,0.0,117.6,345.6,62.9,0.0,49.2,46.4,104.4,72.2,0.0,39.6,50.0,75.7,47.9,0.0,63.3,116.3,37.2,54.7,76.3,96.1
2020-05-15,59.3,36.4,0.0,54.7,0.0,0.0,66.8,0.0,72.2,90.6,35.3,112.5,36.4,144.5,34.6,40.9,59.8,542.0,133.6,0.0,65.3,0.0,37.7,0.0,81.9,0.0,164.0,0.0,0.0,0.0,0.0,75.7,35.9,0.0,38.0,180.9,49.6,87.5,0.0,54.9
2020-05-22,59.3,0.0,0.0,0.0,0.0,48.4,78.0,49.0,36.1,51.8,47.1,50.0,0.0,88.9,0.0,0.0,0.0,57.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,119.3,108.4,0.0,0.0,0.0,63.1,0.0,59.7,76.0,0.0,0.0,32.8,0.0,41.2
2020-05-29,0.0,0.0,0.0,0.0,0.0,0.0,33.4,97.9,0.0,0.0,58.8,0.0,36.4,33.3,46.2,51.2,0.0,34.6,48.6,0.0,0.0,0.0,37.7,0.0,98.3,23.2,59.6,228.8,42.4,0.0,0.0,0.0,35.9,0.0,0.0,51.7,0.0,43.8,0.0,0.0
2020-06-05,0.0,0.0,0.0,0.0,0.0,0.0,66.8,114.2,0.0,38.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.4,0.0,0.0,0.0,0.0,0.0,0.0,53.1,0.0,0.0,0.0,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,44.6,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.7,48.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-17,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
